Rank,Name,Score,Medium,Sub Medium,Status,Genre,episodes/chapter?,Story Completed,Reviewed?
,Immortal Weakling,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,Code Adam,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,Deor,70,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,Flow,70,Comic,Manhwa/Webtoon,Dropped,,,YES,NO
,Arma,70,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
,Tokyo Ghoul Re,70,Comic,Manga,Dropped,,,YES,NO
,Tokyo Ghoul,70,Comic,Manga,Completed,,,YES,NO
,My hero academia / Boku no Hero Academia,70,Comic,Manga,Dropped,,,NO,NO
,Dr Stone,70,Comic,Manga,Dropped,,,NO,NO
,Deadman Wonderland,70,Comic,Manga,Completed,,,YES,NO
,Justice League,67,Movie,American,Completed,,,YES,NO
,No Game No Life: Zero,67,Movie,Anime,Completed,,,YES,NO
,Highschool of the Dead,67,TV Seires,Anime,Completed,,,YES,NO
,Arceus and the Jewel of Life,67,Movie,Anime,Completed,,,YES,NO
,Ant-Man and the Wasp,67,Movie,American,Completed,,,YES,NO
,Ant-Man,67,Movie,American,Completed,,,YES,NO
,Iron Man 3,67,Movie,American,Completed,,,YES,NO
,Thor: The Dark World,67,Movie,American,Completed,,,YES,NO
,Back to the Future Part III,67,Movie,American,Completed,,,YES,NO
,How to become a dragon,67,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,Masamune-kun no Revenge,67,Comic,Manga,Dropped,,,NO,NO
,Toradora!,60,TV Seires,Anime,Completed,,,YES,NO
,Suzumiya Haruhi no Yuuutsu,60,TV Seires,Anime,Completed,,,YES,NO
,Sakura-sou no Pet na Kanojo,60,TV Seires,Anime,Dropped,,,YES,NO
,Pokemon,60,TV Seires,Anime,Completed,,,YES,NO
,Orange,60,TV Seires,Anime,Completed,,,YES,NO
,Nanatsu no Taizai,60,TV Seires,Anime,Dropped,,,YES,NO
,Anohana,60,TV Seires,Anime,Completed,,,YES,NO
,SubZero,60,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
,Mirai Nikki,40,TV Seires,Anime,Completed,,,YES,NO
,Pokémon: The Movie 2000 - The Power of One,7,Movie,Anime,Completed,,,YES,NO
,Pokémon: The First Movie - Mewtwo Strikes Back,7,Movie,Anime,Completed,,,YES,NO
,Four Lions,,Movie,British,Completed,Black Comedy,,YES,
,"Old Taxi ",,TV Seires,Anime,Completed,"Mystery, Neo-noir",,YES,
,"Shiguang Dailiren
Watch Promotional Video",,TV Seires,Anime,Completed,"Sci-Fi, Thiller",,,NO
,Kingdom,,Comic,Manga,Reading/Watching,,,NO,NO
,Daredevil,,TV Seires,American,Dropped,,,YES,YES
,Sahsiyet,,TV Seires,Turkey,Reading/Watching,,,YES,NO
,Sex House,,TV Seires,American,Completed,"Black Comedy, Horror, psychological",10/10,YES,NO
,Mr Robot,,TV Seires,American,,,,,
,Game of Thrones,,TV Seires,American,,,,,
,Person Of Interest,,TV Seires,American,,,,,
,Westwolrd,,TV Seires,American,,,,,
,The boys,,TV Seires,,,,,,
,Cobra Kai,,TV Seires,American,On Hold,Action,,NO,NO
,Laakhon Mein Ek,,TV Seires,Indian,On Hold,,,,
,Prison Break,,TV Seires,American,Completed,,,,
,The office,,TV Seires,American,On Hold,,,,
,It's Always Sunny in Philadelphia,,TV Seires,American,Reading/Watching,,,,NO
,Freinds,,TV Seires,American,Completed,,,,
,What we do in shadows,,TV Seires,American,On Hold,,,,
,How I met your Mother,,TV Seires,American,Completed,,,,
,Poison Pen,,Book,Fanfiction,On Hold,,,YES,NO
